Season,Name,Age,Hometown,Occupation,Outcome
13,Nikki Kaapke[15],29,"Blue Island, Illinois",Administrative Assistant,9
13,Erica DeSimone,25,"Monroe, Connecticut",Account Executive,Week 3
13,Natalie Getz[17],27,"Morton, Illinois",Human Resources Recruiter,12
13,Raquel Medeiros[18],27,"Recife, Pernambuco[a]",Medical Student,Week 2
13,Lisa Gonzalez[20],28,"Boise, Idaho",Public Relations Associate,15 (quit)
13,Ann Lueders,24,"Phoenix, Arizona",Flight Attendant,Week 1
14,Vienna Girardi[1],23,"Geneva, Florida",Marketing Representative,Winner
14,Tenley Molzahn[2],25,"Newberg, Oregon",College Admissions,Runner-Up
14,Gia Allemand[3],26,"Manorville, New York",Swimsuit Model,Week 7
14,Ali Fedotowsky[4][3],25,"Williamstown, Massachusetts",Advertising Account Manager,Week 6
14,Corrie Adamson,23,"Kissimmee, Florida",Wardrobe Consultant,Week 5
14,Ashleigh Hunt[4],25,"North Potomac, Maryland",Account Manager,Week 4
14,Kathryn Sherlock[5],25,"Lexington, Kentucky",Corporate Flight Attendant,8
14,Ella Nolan[4][3],30,"La Follette, Tennessee",Hair Stylist,9
14,Elizabeth Kitt (NE)[3],29,"Imperial, Nebraska",Nanny,Week 3
14,Michelle Kujawa[3],26,"Anaheim, California",Office Manager,12
14,Ashley Elmore[7],29,"Pittsburgh, Pennsylvania",Teacher,Week 2
14,Rozlyn Papa[3],28,"Richmond, Virginia",Model/Make-Up Artist,15 (DQ)
14,"Alexa ""Lex"" McAllister[9]",25,"Galloway, Ohio",Entrepreneur,Week 1
15,Emily Maynard[7],24,"Morgantown, West Virginia",Children's Hospital Event Planner,Winner
15,Chantal O'Brien[9],28,"Mercer Island, Washington",Executive Assistant,Runner-up
15,Ashley Hebert[10],26,"Madawaska, Maine",Dental Student,Week 9
15,Shawntel Newton[12],25,"Chico, California",Funeral Director,Week 8
15,Michelle Money,30,"Salt Lake City, Utah",Hairstylist,Week 7
15,Britt Billmaier[9],25,"Woodinville, Washington",Food Writer,6
15,Jackie Gordon[15],26,"Newport, Rhode Island",Artist,Week 6
15,"Allison ""Alli"" Travis[17]",24,"Worthington, Ohio",Apparel Merchant,8
15,Lisa Morrisey[18],24,"Ottawa, Kansas",Marketing Coordinator,Week 5
15,Ashley Spivey[21],26,"Ellerbe, North Carolina",Nanny,11
15,Lindsay Hill[22],25,"Plano, Texas",First Grade Teacher,Week 4
15,Kimberly Coon[24],27,"Orlando, Florida",Marketing Coordinator,Week 3
15,Madison Garton[27],25,"Vail, Colorado",Model,17 (quit)
15,Keltie Busch[28],28,"Sherwood Park, Alberta",Radio City Rockette,Week 2
15,Britnee Marks[30],25,"Holland, Pennsylvania",Paralegal,Week 1
16,Courtney Robertson[7][8],28,"Scottsdale, Arizona",Model,Winner
16,Lindzi Cox[9],27,"Ocala, Florida",Business Development Manager,Runner-up
16,Nicki Sterling[7],26,"Hurst, Texas",Dental Hygienist,Week 9
16,Kacie Boguskie[10],24,"Clarksville, Tennessee",Administrative Assistant,Week 8
16,Emily O'Brien[11],27,"Chapel Hill, North Carolina",PhD Student,Week 7
16,Jamie Otis[13],25,"Dryden, New York",Registered Nurse,Week 6
16,Casey Shteamer[14],26,"Leawood, Kansas",Trading Clerk,8 (DQ)
16,Blakeley Jones[11],34,"Rutherfordton, North Carolina",VIP Cocktail Waitress,9
16,Jennifer Fritsch[14],28,"Cache, Oklahoma",Accountant,Week 5
16,Elyse Myers[14],24,"Chicago, Illinois",Personal Trainer,11
16,Monica Spannbauer[15],33,"Yuba, California",Dental Consultant,Week 4
16,Samantha Levey[16][17],26,"Pittsburgh, Pennsylvania",Advertising Account Manager,13
16,Erika Uhlig[18],23,"Charlottesville, Virginia",Law Student,Week 3
16,Brittney Schreiner[7],26,"Colorado Springs, Colorado",Medical Sales Representative,16 (quit)
16,Jenna Burke[20][21],27,"Loveland, Ohio",Blogger,Week 2
16,Amber Bacon[23],23,"Port Coquitlam, British Columbia",Labor and Delivery Nurse,Week 1
17,Catherine Giudici[14],26,"Seattle, Washington",Graphic Designer,Winner
17,Lindsay Yenter[15],24,"Fort Leonard Wood, Missouri",Substitute Teacher,Runner-up
17,AshLee Frazier[16],32,"Houston, Texas",Personal Organizer,Week 9
17,Desiree Hartsock[17],26,"Northglenn, Colorado",Bridal Stylist,Week 8
17,Lesley Murphy[18],25,"Fort Smith, Arkansas",Political Consultant,Week 7
17,Tierra LiCausi[19],24,"Las Vegas, Nevada",Leasing Consultant,6
17,Daniella McBride[20],24,"Belmont, California",Commercial Casting Associate,Week 6
17,Sarah Herron[17][22],26,"Evergreen, Colorado",Advertising Executive,9
17,Robyn Howard[16][23],24,"Topeka, Kansas",Oil Field Account Manager,Week 5
17,Jackie Parr[24],25,"Ormond Beach, Florida",Cosmetics Consultant,11
17,Amanda Meyer[17],26,"Bakersfield, California",Fit Model,Week 4
17,Leslie Hughes[17],28,"Ruskin, Florida",Poker Dealer,13
17,Kristy Kaminski[25],25,"Darien, Wisconsin",Model,Week 3
17,Kacie Boguskie[27],25,"Clarksville, Tennessee",Administrative Assistant,16
17,Brooke Burchette[28],25,"Pittsburgh, Pennsylvania",Community Organizer,Week 2
17,Katie Levans[30],27,"Woodstock, Illinois",Yoga Instructor,19 (quit)
17,Ashley Harper[31],25,"Garner, North Carolina",Fashion Model,Week 1
18,Nikki Ferrell[6][7],26,"Kearney, Missouri",Pediatric Nurse,Winner
18,Clare Crawley[8],32,"Sacramento, California",Hairstylist,Runner-up
18,Andi Dorfman[9],26,"Buckhead, Georgia",Assistant District Attorney,Week 9
18,Renee Oteri[10],32,"Martha's Vineyard, Massachusetts",Real Estate Agent,Week 8
18,Chelsie Webster[11],24,"Lexington, Ohio",Science Educator,Week 7
18,Sharleen Joynt[12][13],29,"Ottawa, Ontario[a]",Opera Singer,6 (quit)
18,"Katherine ""Kat"" Hurd",29,"Iowa City, Iowa",Medical Sales Rep,Week 6
18,Cassandra Ferguson[14],22,"Rochester Hills, Michigan",Former NBA Dancer,8
18,"Allison ""Alli"" Restko[13]",26,"Orland Park, Illinois",Nanny,Week 5
18,Elise Mosca[16],27,"Forty Fort, Pennsylvania",First Grade Teacher,Week 4
18,Christy Hansen[18],24,"Aurora, Illinois",Marketing Manager,Week 3
18,Amy Long[19],27,"Clermont, Florida",Local News Reporter,Week 2
18,Victoria Lima[13],24,"Porto Alegre, Brazil[b]",Legal Assistant,18
18,Alexis Morgado[13][21],24,"Tampa, Florida",Communications Director,Week 1
19,Whitney Bischoff[7][8],29,"Louisville, Kentucky",Fertility Nurse,Winner
19,Becca Tilley[10][11],25,"Shreveport, Louisiana",Chiropractic Assistant,Runner-up
19,Kaitlyn Bristowe[12],29,"Leduc, Alberta",Dance Instructor,Week 9
19,Jade Roper[8][14],28,"Gering, Nebraska",Cosmetics Developer,Week 8
19,Carly Waddell[3],29,"Arlington, Texas",Cruise Ship Singer,Week 7
19,Britt Nilsson[8][14],27,"Wolcott Mills, Michigan",Waitress,6
19,Megan Bell[7],24,"Brentwood, Tennessee",Make-Up Artist,Week 6
19,Kelsey Poe[8][17],28,"Hudsonville, Michigan",Guidance Counselor,8
19,Ashley Iaconetti[8][19],26,"Great Falls, Virginia",Journalist,9
19,Mackenzie Deonigi[7],21,"Maple Valley, Washington",Dental Assistant,Week 5
19,Ashley Salter[21],24,"Vinings, Georgia",Hair Stylist,Week 4
19,Jillian Anderson[23][24],25,"Howland, Ohio",News Producer,15
19,Amber James[7][25],29,"Kankakee, Illinois",Bartender,Week 3
19,Alissa Giambrone[19],24,"Hamilton, New Jersey",Flight Attendant,Week 2
19,Kimberly Sherbach[31],28,"Wantagh, New York",Yoga Instructor,[29][32]
